Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,S,4921294.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4921294&database=RX&origin=ReaxysOutput&ln=,(75 of 4000),7704-34-9,sulfur; sulphur,S,S,32.066,,,RWSOTUBLDIXVET-UHFFFAOYSA-N,,,,Identification(88); Physical Data(2856); Spectra(135); Bioactivity(886),16589.0,14843.0,115.8 - 116,,,,,,"Article; Huang, Kuan; Feng, Xi; Zhang, Xiao-Min; Wu, You-Ting; Hu, Xing-Bang; Green Chemistry; vol. 18; 7; (2016); p. 1859 - 1863;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68628751&database=RX&origin=ReaxysOutput&ln=
,[Li]C#N,3535167.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3535167&database=RX&origin=ReaxysOutput&ln=,(83 of 4000),2408-36-8,lithium cyanide,NCLi,CLiN,32.9587,acyclic; Coordination compound,,KRPAPDCTWMTYHU-UHFFFAOYSA-N,,,,Identification(8); Physical Data(14); Spectra(1),313.0,129.0,160,,,,,,Article; Perret; Perrot; Helvetica Chimica Acta; vol. 15; (1932); p. 1168;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1172589&database=RX&origin=ReaxysOutput&ln=
,[Li+].[C-]#N,3679452.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3679452&database=RX&origin=ReaxysOutput&ln=,(84 of 4000),788104-34-7; 25733-05-5,lithium cyanide,Li(1+)*CN(1-),CN*Li,32.9587,acyclic,,JORQDGTZGKHEEO-UHFFFAOYSA-N,,,,Identification(32); Physical Data(18); Spectra(8),103.0,115.0,160,,,,,,"Article; Perret, A.; Perrot, R.; Helvetica Chimica Acta; vol. 15; (1932); p. 1165 - 1171;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. Li: SVol.; 156, page 501 - 503; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7544640&database=RX&origin=ReaxysOutput&ln=
,NO,3587190.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587190&database=RX&origin=ReaxysOutput&ln=,(85 of 4000),7803-49-8,hydroxylamine; hydroxyalmine,H3NO,H3NO,33.0299,,,AVXURJPOCDRRFD-UHFFFAOYSA-N,,,,Identification(281878); Physical Data(67); Spectra(24); Bioactivity(14174),1975.0,282639.0,141 - 142,,,,,,"Article; Zhou, Yue; Tu, Xingzhao; Li, Zhijie; Zhou, Lihong; Zeng, Qingle; Organic Preparations and Procedures International; vol. 48; 5; (2016); p. 413 - 420;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69576382&database=RX&origin=ReaxysOutput&ln=
,[2H]N([2H])C,1731212.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731212&database=RX&origin=ReaxysOutput&ln=,(86 of 4000),2614-35-9,"N-deuteriomethylamine; N,N-dideuterio-methylamine; methylamine-d2; N,N-Dideutero-methylamin; N-Dideutero-methylamin; Methylamin-N-D(2); N-Dideuterio-methylamin; N-Deutero-methylamin",CH3ND2,CH5N,33.0415,acyclic; Isotope or isotope containing compound,,BAVYZALUXZFZLV-ZSJDYOACSA-N,,,,Identification(19); Physical Data(27); Spectra(20),17.0,67.0,-89.2,,,,,,Article; Emeleus; Briscoe; Journal of the Chemical Society; (1937); p. 127;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1230692&database=RX&origin=ReaxysOutput&ln=
,[2H]C([2H])([2H])C,1730791.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730791&database=RX&origin=ReaxysOutput&ln=,(87 of 4000),2031-95-0,"1,1,1-trideuterio-ethane; ethane-d3",CH3C(2)H3,C2H6,33.0458,acyclic; Isotope or isotope containing compound,,OTMSDBZUPAUEDD-FIBGUPNXSA-N,,,,Identification(13); Physical Data(18); Spectra(38),41.0,106.0,-184.1,,,,,,"Article; Barnett; Muller; Journal of Chemical and Engineering Data; vol. 15; (1970); p. 154,155,156;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3988584&database=RX&origin=ReaxysOutput&ln=
,[H]OO[H],3587191.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587191&database=RX&origin=ReaxysOutput&ln=,(89 of 4000),7722-84-1,dihydrogen peroxide; hydrogen peroxide,O2H2,H2O2,34.0147,,,MHAJPDPJQMAIIY-UHFFFAOYSA-N,,,,Identification(5846); Physical Data(909); Spectra(215); Bioactivity(3178),10024.0,20599.0,25,,,1.5 GPa,,,"Article; Cynn, Hyunchae; Yoo, Choong-Shik; Sheffield, Stephen A.; Journal of Chemical Physics; vol. 110; 14; (1999); p. 6836 - 6843; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6186814&database=RX&origin=ReaxysOutput&ln=
,CF,1730725.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730725&database=RX&origin=ReaxysOutput&ln=,(90 of 4000),593-53-3,Methyl fluoride,CFH3,CH3F,34.0332,acyclic,,NBVXSUQYWXRMNV-UHFFFAOYSA-N,,,,Identification(532); Physical Data(342); Spectra(157); Bioactivity(72),347.0,1414.0,-141.8,,,,,,Article; Grosse; Wackher; Linn; Journal of Physical Chemistry; vol. 44; (1940); p. 293;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1231103&database=RX&origin=ReaxysOutput&ln=
,[2H]C([2H])C([2H])[2H],1730995.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730995&database=RX&origin=ReaxysOutput&ln=,(91 of 4000),3681-29-6,"1,1,2,2-tetradeuterio-ethane; 1,1,2,2-Tetradeuterio-aethan",C2H2D4,C2H6,34.0379,acyclic,,OTMSDBZUPAUEDD-LNLMKGTHSA-N,,,,Identification(5); Physical Data(9); Spectra(18),5.0,24.0,-183.27,,,,,,"Article; Barnett; Muller; Journal of Chemical and Engineering Data; vol. 15; (1970); p. 154,155,156;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3988584&database=RX&origin=ReaxysOutput&ln=
,[H]O[H].[H]C([H])([H])[H],3929436.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3929436&database=RX&origin=ReaxysOutput&ln=,(92 of 4000),154320-69-1,methane hydrate; methane; monohydrate,CH4*H2O,CH4*H2O,34.058,acyclic,,VUZPPFZMUPKLLV-UHFFFAOYSA-N,,,,Identification(4963); Physical Data(1); Spectra(2),2.0,4855.0,2 - 3,,,,,,Patent; WOODSIDE PETROLEUM LIMITED; US6855852; (2005); B1;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D361141&database=RX&origin=ReaxysOutput&ln=
,[H]S[H],3535004.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3535004&database=RX&origin=ReaxysOutput&ln=,(93 of 4000),7783-06-4,hydrogen sulfide; Hydrogen sulphide,HSH,H2S,34.0819,Isotope or isotope containing compound,,RWSOTUBLDIXVET-UHFFFAOYSA-N,,,,Identification(86160); Physical Data(2014); Spectra(185); Bioactivity(4487),7917.0,87422.0,-86,,,,,,Patent; ENLIGHTEN INNOVATIONS INC; US2005/161340; (2005); A1;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8821905&database=RX&origin=ReaxysOutput&ln=
,NF,6473688.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D6473688&database=RX&origin=ReaxysOutput&ln=,(94 of 4000),13967-06-1,N-monofluoroamine; amine fluoride; nitrogen dihydrogen fluoride; monofluoramine; monofluoroamine; fluoro amine; ammonia fluoride; aminofluoride; aminofluoran; fluoramine,NFH2,FH2N,35.021,,,MDQRDWAGHRLBPA-UHFFFAOYSA-N,,,,Identification(248); Physical Data(14); Spectra(7); Bioactivity(18),21.0,324.0,-103,,,with decomposition,,,"Article; Minkwitz, Rolf; Nass, Ruediger; Zeitschrift fur Naturforschung, B: Chemical Sciences; vol. 43; 11; (1988); p. 1478 - 1480; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5792869&database=RX&origin=ReaxysOutput&ln=
,[2H]C([2H])C([2H])([2H])[2H],1731253.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731253&database=RX&origin=ReaxysOutput&ln=,(95 of 4000),3681-30-9,pentadeuterioethane; ethane-d5; Pentadeuterio-aethan,C2H(2)H5,C2H6,35.0299,acyclic; Isotope or isotope containing compound,,OTMSDBZUPAUEDD-KPAILUHGSA-N,,,,Identification(6); Physical Data(11); Spectra(18),14.0,31.0,-183.35,,,,,,"Article; Barnett; Muller; Journal of Chemical and Engineering Data; vol. 15; (1970); p. 154,155,156;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3988584&database=RX&origin=ReaxysOutput&ln=
,[2H]OO[2H],5489626.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D5489626&database=RX&origin=ReaxysOutput&ln=,(98 of 4000),6909-54-2,hydrogen peroxide,((2)H)2O2,H2O2,35.9988,Isotope or isotope containing compound,,MHAJPDPJQMAIIY-ZSJDYOACSA-N,,,,Identification(20); Physical Data(66); Spectra(14),62.0,123.0,1.5,,,,,,"Article; Giguere, P. A.; Secco, E. A.; Canadian Journal of Chemistry; vol. 32; (1954); p. 550 - 556;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. O: MVol.7; 144, page 2520 - 2522; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7617963&database=RX&origin=ReaxysOutput&ln=
,[Li]CC,3587196.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3587196&database=RX&origin=ReaxysOutput&ln=,(99 of 4000),811-49-4,ethyllithium,CH3CH2Li,C2H5Li,36.0027,acyclic; Isotope or isotope containing compound,,BLHLJVCOVBYQQS-UHFFFAOYSA-N,,,,Identification(109); Physical Data(53); Spectra(31),1428.0,1126.0,95,,,,,,"Article; Quirk; Kester; Journal of Organometallic Chemistry; vol. 127; (1977); p. 111,117;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4473592&database=RX&origin=ReaxysOutput&ln=
,[2H]S[2H],7801834.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D7801834&database=RX&origin=ReaxysOutput&ln=,(101 of 4000),13536-94-2,deuterium sulfide,(2)H2S,H2S,36.066,Isotope or isotope containing compound,,RWSOTUBLDIXVET-ZSJDYOACSA-N,,,,Identification(20); Physical Data(156); Spectra(52),128.0,360.0,25,,,3.75E+06 Torr,,,"Article; Shimizu, H.; Murashima, H.; Sasaki, S.; Journal of Chemical Physics; vol. 97; 10; (1992); p. 7137 - 7139; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5704961&database=RX&origin=ReaxysOutput&ln=
,[NH4+].[F-],13192588.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D13192588&database=RX&origin=ReaxysOutput&ln=,(106 of 4000),,ammonium fluoride,F(1-)*H4N(1+),F*H4N,37.0369,,,LDDQLRUQCUTJBB-UHFFFAOYSA-N,,,,Identification(7); Physical Data(124); Spectra(11); Bioactivity(62),1519.0,1219.0,138,,,with decomposition,,,Article; D'yachenko; Kraidenko; Russian Journal of Applied Chemistry; vol. 81; 6; (2008); p. 952 - 955; (from Gmelin),https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8660176&database=RX&origin=ReaxysOutput&ln=
,[F-].[H][O+]([H])[H],16473479.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D16473479&database=RX&origin=ReaxysOutput&ln=,(112 of 4000),215303-12-1,hydronium fluoride,H3O(1+)*F(1-) = H2OHF,F*H3O,38.0216,Coordination compound,,SGWCNDDOFLBOQV-UHFFFAOYSA-N,,,,Identification(5); Physical Data(4); Spectra(1),1.0,9.0,-35.2,,,,,,"Article; Giguere, Paul A.; Turrell, Sylvia; Journal of the American Chemical Society; vol. 102; 17; (1980); p. 5473 - 5477; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5626078&database=RX&origin=ReaxysOutput&ln=
,F[H].[H]O[H],16846287.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D16846287&database=RX&origin=ReaxysOutput&ln=,(113 of 4000),215303-12-1,hydroflouric acid monohydrate; water-hydrogen fluoride adduct; hydrogen fluoride * water; H2O*hydrogen fluoride,HF*H2O=HF(H2O),FH*H2O,38.0216,Coordination compound,,SGWCNDDOFLBOQV-UHFFFAOYSA-N,,,,Identification(67); Physical Data(5); Spectra(5),4.0,101.0,-34.5,,,,,,"Article; Pawlenko, S.; Zeitschrift fur Anorganische und Allgemeine Chemie; Zeitschrift fuer Anorganische und Allgemeine Chemie; vol. 328; (1964); p. 133 - 143;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. F: SVol.3; 2.1.12.1, page 238 - 241; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7750744&database=RX&origin=ReaxysOutput&ln=
,[H].[H].N.[Na],14465472.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D14465472&database=RX&origin=ReaxysOutput&ln=,(116 of 4000),,sodium amide,H2NNa,H2NNa,39.0123,,,QHTYUOQVXUARKX-UHFFFAOYSA-N,,,,Identification(381); Physical Data(35); Bioactivity(34),175.0,651.0,207,,,,,,"Article; Jacobs, H.; Niewa, R.; European Journal of Solid State and Inorganic Chemistry; vol. 31; (1994); p. 105 - 114; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7835946&database=RX&origin=ReaxysOutput&ln=
,[H].O.[Na],8128150.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D8128150&database=RX&origin=ReaxysOutput&ln=,(119 of 4000),1310-73-2,sodium hydroxide; NaOH,Na(1+)*OH(1-) = NaOH,HNaO,39.9971,,,PAJKIGAQXRHCMT-UHFFFAOYSA-N,,,,Identification(4955); Physical Data(1354); Spectra(91); Bioactivity(961),14235.0,18593.0,318,,,,,,"Article; Chen, Chih Wei; Lee, Tu; Organic Process Research and Development; vol. 21; 9; (2017); p. 1326 - 1339;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D72083816&database=RX&origin=ReaxysOutput&ln=
,[OH-].[Na+],11342940.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D11342940&database=RX&origin=ReaxysOutput&ln=,(120 of 4000),1310-73-2,sodium hydroxide,Na(1+)*OH(1-),HO*Na,39.9971,,,VNWKTOKETHGBQD-UHFFFAOYSA-N,,,,Identification(49); Physical Data(3); Spectra(5); Bioactivity(46),489.0,821.0,132 - 134,methanol; diethyl ether,,,,,Patent; AVECIA HOLDINGS LIMITED; PIRAMAL ENTERPRISES LIMITED; WO2005/56543; (2005); A2;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8821560&database=RX&origin=ReaxysOutput&ln=
,CC#C,878138.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D878138&database=RX&origin=ReaxysOutput&ln=,(121 of 4000),74-99-7,prop-1-yne; propyne,HCC(CH3),C3H4,40.0648,acyclic,,MWWATHDPGQKSAR-UHFFFAOYSA-N,,,,Identification(2292); Physical Data(323); Spectra(161); Bioactivity(245),2798.0,4727.0,-102.7,,,,,,"Article; Rossini; Selected values of physical and thermodynamic properties of hydrocarbons and related compounds; (1953); p. 66;; ; Article; Morehouse; Maass; Canadian Journal of Research; vol. 5; (1931); p. 308,311; Chemisches Zentralblatt; vol. 102; II; (1931); p. 3197;; ; Article; Conn; Kistiakowsky; Smith; Journal of the American Chemical Society; vol. 61; (1939); p. 1868,1869;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1347844&database=RX&origin=ReaxysOutput&ln=
,C=C=C,1730774.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1730774&database=RX&origin=ReaxysOutput&ln=,(122 of 4000),463-49-0,"1,2-propanediene; 1,2-propadiene; propadiene; Allene",H2CCCH2,C3H4,40.0648,acyclic,,IYABWNGZIDDRAK-UHFFFAOYSA-N,,,,Identification(436); Physical Data(160); Spectra(108); Bioactivity(88),2343.0,1758.0,-136,,,,,,Article; Rossini; Selected values of physical and thermodynamic properties of hydrocarbons and related compounds; (1953); p. 62;; ; Article; Oka; Sato; Bulletin of the Chemical Society of Japan; vol. 42; (1969); p. 582;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1347902&database=RX&origin=ReaxysOutput&ln=
,N.[Al],14444722.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D14444722&database=RX&origin=ReaxysOutput&ln=,(123 of 4000),,aluminium nitride; aluminum nitride,AlN,AlN,40.9882,Alloy; Glass or Ceramic material,,QVRYCILXIXLVCU-UHFFFAOYSA-N,,,,Identification(19); Physical Data(622); Spectra(100); Bioactivity(84),1596.0,1656.0,654,,,,,,Article; Rounaghi; Eshghi; Kiani Rashid; Vahdati Khaki; Samadi Khoshkhoo; Scudino; Eckert; Journal of Solid State Chemistry; vol. 198; (2013); p. 542 - 547;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D35449979&database=RX&origin=ReaxysOutput&ln=
,F[2H].[2H]O[2H],16963684.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D16963684&database=RX&origin=ReaxysOutput&ln=,(124 of 4000),,,D2O*DF,FH*H2O,40.9978,Isotope or isotope containing compound,,SGWCNDDOFLBOQV-ZRLBSURWSA-N,,,,Identification(5); Physical Data(8); Spectra(1),,2.0,-41,,,,,,"Article; Poll, Wolfgang; Lohmeyer, Michaela; Mootz, Dietrich; Zeitschrift fur Naturforschung, B: Chemical Sciences; vol. 44; 11; (1989); p. 1359 - 1364; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5771435&database=RX&origin=ReaxysOutput&ln=
,CC#N,741857.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D741857&database=RX&origin=ReaxysOutput&ln=,(125 of 4000),75-05-8,acetonitrile; MeCN,H3CCN,C2H3N,41.0525,acyclic,,WEVYAHXRMPXWCK-UHFFFAOYSA-N,,,,Identification(10913); Physical Data(3757); Spectra(533); Bioactivity(1828),42580.0,34326.0,-43.16,,,,,,"Article; Mcconville, Christina A.; Tao, Yunwen; Evans, Hayden A.; Trump, Benjamin A.; Lefton, Jonathan B.; Xu, Wenqian; Yakovenko, Andrey A.; Kraka, Elfi; Brown, Craig M.; Runčevski, Tomče; Chemical Communications; vol. 56; 88; (2020); p. 13520 - 13523;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D81522806&database=RX&origin=ReaxysOutput&ln=
,Cl[H].CC(C)=O,16698817.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D16698817&database=RX&origin=ReaxysOutput&ln=,(127 of 4000),,0.76hydrogen chloride*0.24acetone,0.76HCl*0.24CH3COCH3,0C3H6O*0ClH,41.6495,,,HPOKESDSMZRZLC-UHFFFAOYSA-N,,,,Identification(5); Physical Data(1),,2.0,-81,,,,,,"Article; McIntosh, D.; Bulletin of the Chemical Society of Japan; vol. 3; (1928); p. 82 - 86;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. Cl: SVol.B1; 96, page 273 - 275; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7242728&database=RX&origin=ReaxysOutput&ln=
,C=C=O,1098282.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1098282&database=RX&origin=ReaxysOutput&ln=,(131 of 4000),463-51-4,Ketene,H2CCO,C2H2O,42.0373,acyclic,,CCGKOQOJPYTBIH-UHFFFAOYSA-N,,,,Identification(156); Physical Data(107); Spectra(100); Bioactivity(80),2275.0,1583.0,-151,,,,,,"Article; Staudinger; Klever; Chemische Berichte; vol. 41; (1908); p. 595;; ; Article; van Tilborg et al.; Synthetic Communications; vol. 3; (1973); p. 189,193-195;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1112577&database=RX&origin=ReaxysOutput&ln=
,C=[N]#N,102415.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D102415&database=RX&origin=ReaxysOutput&ln=,(132 of 4000),186581-53-3; 908094-01-9,diazomethane; doazomethane,N2CH2,CH2N2,42.0403,acyclic,,YXHKONLOYHBTNS-UHFFFAOYSA-N,,,,Identification(1977); Physical Data(58); Spectra(40); Bioactivity(1650),59664.0,32963.0,-145,,,,,,Article; Staudinger; Kupfer; Chemische Berichte; vol. 45; (1912); p. 508;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1308757&database=RX&origin=ReaxysOutput&ln=
,NC#N,1732569.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1732569&database=RX&origin=ReaxysOutput&ln=,(133 of 4000),420-04-2,CYANAMID,C(NH2)N,CH2N2,42.0403,acyclic,,XZMCDFZZKTWFGF-UHFFFAOYSA-N,,,,Identification(2566); Physical Data(259); Spectra(116); Bioactivity(333),6225.0,5681.0,44,,Paragraph [0050],,,,Patent; OPGEN INC; WO2016/33077; (2016); A1;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68495464&database=RX&origin=ReaxysOutput&ln=
,CC#[15N],2036405.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2036405&database=RX&origin=ReaxysOutput&ln=,(134 of 4000),14149-39-4,((15)N)Acetonitril,(15)NCCH3,C2H3N,42.0458,acyclic,,WEVYAHXRMPXWCK-LBPDFUHNSA-N,,,,Identification(17); Physical Data(23); Spectra(26),28.0,53.0,-45.7,,,,,,Article; Alei; Jr. et al.; Journal of Physical Chemistry; vol. 75; (1971); p. 932;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3984918&database=RX&origin=ReaxysOutput&ln=
,C1CC1,605256.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D605256&database=RX&origin=ReaxysOutput&ln=,(135 of 4000),75-19-4,cyclopropane,(CH2)3,C3H6,42.0806,isocyclic,,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,,,,Identification(2243); Physical Data(367); Spectra(126); Bioactivity(170),449.0,3258.0,75 - 77,,supporting information,,,,"Article; McKeever, Caitriona; Kaiser, Marcel; Rozas, Isabel; Journal of Medicinal Chemistry; vol. 56; 3; (2013); p. 700 - 711;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D35466778&database=RX&origin=ReaxysOutput&ln=
,CC=C,1696878.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1696878&database=RX&origin=ReaxysOutput&ln=,(136 of 4000),187737-37-7,propene; 1-propene; propylene,C2H3CH3,C3H6,42.0806,acyclic,,QQONPFPTGQHPMA-UHFFFAOYSA-N,,,,Identification(24368); Physical Data(1211); Spectra(184); Bioactivity(1710),8207.0,34021.0,128,,,,,,"Article; Joshi, T.; Dass, A.; Pandey, S.; Shukla, S.; Phytochemistry; vol. 24; 12; (1985); p. 3073 - 3074;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5830660&database=RX&origin=ReaxysOutput&ln=
,O=N#C,1071209.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1071209&database=RX&origin=ReaxysOutput&ln=,(138 of 4000),51060-05-0,fulminic acid,HNCO,CHNO,43.025,acyclic,,UXKUODQYLDZXDL-UHFFFAOYSA-N,,,,Identification(70); Physical Data(31); Spectra(29); Bioactivity(11),90.0,210.0,-10,,,,,,Article; Beck et al.; Chemische Berichte; vol. 104; (1971); p. 528;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5108598&database=RX&origin=ReaxysOutput&ln=
,N=C=O,1616281.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1616281&database=RX&origin=ReaxysOutput&ln=,(139 of 4000),75-13-8,isocyanic acid; cyanic acid,NHCO,CHNO,43.025,acyclic,,OWIKHYCFFJSOEH-UHFFFAOYSA-N,,,,Identification(1253); Physical Data(188); Spectra(117); Bioactivity(92),336.0,1815.0,-86.15,,,,,,"Article; Sheludyakov, Yu. L.; Shubareva, F. Z.; Golodov, V. A.; Russian Journal of Applied Chemistry; vol. 67; 5.2; (1994); p. 780 - 781; Zhurnal Prikladnoi Khimii (Sankt-Peterburg, Russian Federation); vol. 67; 5; (1994); p. 873 - 874;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5971939&database=RX&origin=ReaxysOutput&ln=
